participant,ExpeDuration,framerate,Trial_number,experiment,intention,condition,explicability,MapConfiguration,Strategie,TargetAIchoice,TargetUserchoice,ConflictLevel,Obstacle,delayIB,IBestimUser,IB,IB_zscore,SoARatings,SoARatings_zscore,Correlation,Score_trial
5630b79b733ea00011164946,57.7502716666667,60.0,80,1,1.0,2,1.0,5,1,3.0,4.0,1.0,0,750,651,-99,-0.163021348973075,3,-1.11049720946119,0.859846752333906,242.0
5630b79b733ea00011164946,57.7502716666667,60.0,81,1,1.0,2,1.0,1,2,4.0,4.0,2.0,0,250,511,261,1.54425677845404,6,1.17395419285897,0.859846752333906,246.0
5630b79b733ea00011164946,57.7502716666667,60.0,82,1,1.0,4,1.0,4,1,3.0,4.0,0.0,0,750,691,-59,0.0266762207410486,4,-0.349013408687803,0.859846752333906,248.5
5630b79b733ea00011164946,57.7502716666667,60.0,83,1,1.0,4,1.0,1,2,4.0,4.0,2.0,0,1250,1041,-209,-0.684689665686914,6,1.17395419285897,0.859846752333906,252.5
5630b79b733ea00011164946,57.7502716666667,60.0,84,1,1.0,1,0.0,6,2,4.0,4.0,2.0,0,1250,851,-399,-1.585753121829,6,1.17395419285897,0.859846752333906,256.5
5630b79b733ea00011164946,57.7502716666667,60.0,85,1,1.0,1,0.0,5,2,1.0,4.0,0.0,0,250,601,351,1.97107631031081,4,-0.349013408687803,0.859846752333906,260.5
5630b79b733ea00011164946,57.7502716666667,60.0,86,1,1.0,1,0.0,6,1,2.0,4.0,0.0,0,1250,641,-609,-2.58166536282815,4,-0.349013408687803,0.859846752333906,263.0
5630b79b733ea00011164946,57.7502716666667,60.0,87,1,1.0,3,1.0,4,2,4.0,4.0,2.0,0,250,351,101,0.785466499597542,6,1.17395419285897,0.859846752333906,267.0
5630b79b733ea00011164946,57.7502716666667,60.0,89,1,1.0,1,0.0,5,1,3.0,4.0,1.0,0,250,561,311,1.78137874059669,2,-1.87198101023458,0.859846752333906,267.5
5630b79b733ea00011164946,57.7502716666667,60.0,90,1,1.0,2,1.0,2,2,2.0,3.0,1.0,0,1250,581,-669,-2.86621171739933,4,-0.349013408687803,0.859846752333906,271.5
5630b79b733ea00011164946,57.7502716666667,60.0,91,1,1.0,4,1.0,1,1,3.0,4.0,0.0,0,1250,901,-349,-1.34863115968635,6,1.17395419285897,0.859846752333906,274.0
5630b79b733ea00011164946,57.7502716666667,60.0,93,1,1.0,2,1.0,2,2,2.0,4.0,0.0,0,1250,991,-259,-0.921811627829568,4,-0.349013408687803,0.859846752333906,282.0
5630b79b733ea00011164946,57.7502716666667,60.0,94,1,1.0,3,1.0,4,1,3.0,1.0,1.0,0,1250,921,-329,-1.25378237482928,4,-0.349013408687803,0.859846752333906,284.5
5630b79b733ea00011164946,57.7502716666667,60.0,95,1,1.0,3,1.0,3,1,2.0,1.0,0.0,0,750,551,-199,-0.637265273258383,2,-1.87198101023458,0.859846752333906,287.0
5630b79b733ea00011164946,57.7502716666667,60.0,96,1,1.0,4,1.0,5,1,3.0,4.0,1.0,0,250,581,331,1.87622752545375,3,-1.11049720946119,0.859846752333906,289.5
